,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,vleAvBef,vleSumNorm,avAssNorm,res
0,1,0,23629,0,0,2,1,0,2,60,0,2.7288135589999998,0.010980715,0.825,0
1,6,1,24391,1,1,0,7,0,0,30,0,2.457943925,0.017980921,0.8,1
2,5,2,26211,0,3,1,1,1,0,90,0,6.34551495,0.655342804,0.8657142859999999,1
3,2,3,27116,1,12,1,6,0,0,120,0,2.766129032,0.070551095,0.935,1
4,5,2,27189,0,8,2,9,1,0,120,0,4.5,0.077757189,0.3775,0
5,3,1,28046,0,12,1,9,1,0,70,0,2.530769231,0.022510466,0.5325,0
6,2,2,28418,0,11,0,1,0,0,30,0,2.364583333,0.01551026,0.315,0
7,2,3,28787,1,7,2,7,1,0,60,0,2.2,0.019559398999999998,0.745,1
8,1,0,29144,1,8,2,5,0,0,120,0,2.222222222,0.09052227,0.7385714290000001,0
9,2,3,29639,1,4,2,0,0,0,30,0,5.339149400000001,0.335941253,0.848571429,1
10,6,2,29985,0,8,2,1,0,0,30,0,2.598214286,0.019902546,0.7875,1
11,2,3,30850,0,6,1,5,1,0,120,0,4.87456446,0.095943998,0.9975,1
12,0,1,32885,0,11,2,4,0,0,60,0,3.460869565,0.054560428,0.54,1
13,3,3,34087,1,7,0,5,1,1,60,1,2.0,0.00514721,0.8442857140000001,0
14,1,0,34229,0,2,0,0,1,2,120,0,2.827225131,0.036991284,0.856,1
15,5,0,37298,1,2,1,7,0,0,120,0,2.74204947,0.053187839,0.8540000000000001,1
16,1,1,38234,0,1,0,5,0,0,60,0,1.84375,0.003980509,0.76,0
17,3,1,40419,1,1,2,1,1,1,60,0,2.827586207,0.022441837000000003,0.75,1
18,1,3,41547,0,12,0,3,0,0,60,0,3.742138365,0.040765905,0.81,1
19,2,2,42638,1,6,1,8,1,0,60,0,2.757675439,0.17253448600000001,0.7757142859999999,1
20,5,0,43430,1,9,0,4,1,0,60,0,4.128571429,0.198270537,0.87875,1
21,5,2,46148,1,5,0,9,1,0,60,0,3.696,0.12675863,0.8425,1
22,2,2,46605,1,0,1,5,1,0,60,0,3.326618705,0.158602704,0.9475,1
23,0,3,46844,1,4,1,2,1,0,60,0,2.3070175440000003,0.017980921,0.6233333329999999,1
24,3,1,48152,0,0,0,6,0,0,120,0,3.2921348310000003,0.020039805,0.573333333,1
25,3,1,50610,0,0,0,4,0,1,70,1,1.181818182,0.0008235539999999999,0.8733333329999999,0
26,3,3,51153,0,1,1,2,1,0,60,0,2.7219101119999998,0.066433326,0.7125,1
27,3,1,51163,1,3,1,1,1,0,60,0,2.691964286,0.041314941,0.7375,1
28,0,3,52765,0,12,2,0,1,0,120,0,4.009930487,0.277057168,0.66,1
29,1,1,52797,0,9,2,2,1,1,60,0,3.03255814,0.044677785,0.86,1
30,3,0,53488,0,0,1,8,0,0,60,0,2.561085973,0.07761993,0.8575,1
31,3,3,53632,1,10,2,8,0,2,60,0,1.727272727,0.00253929,0.8655555559999999,0
32,4,1,54062,1,0,0,2,0,0,30,0,3.842105263,0.055040835,0.713333333,1
33,0,3,55104,0,11,0,5,0,0,60,0,2.9889196680000003,0.073982568,0.696666667,1
34,5,3,56637,1,1,2,4,0,0,90,1,4.335616438,0.260586096,0.88,1
35,5,3,56667,1,12,2,3,1,2,120,0,1.8043478259999999,0.011323861999999999,0.66,0
36,1,1,56789,0,7,0,5,1,1,60,0,2.532110092,0.018873103999999998,0.7685714290000001,1
37,1,1,57079,0,3,2,2,1,0,60,0,2.241860465,0.033010775,0.7657142859999999,0
38,5,1,57844,1,9,0,8,0,0,60,0,2.848167539,0.037265802,0.72,1
39,1,2,59725,0,10,1,3,1,0,120,0,3.304147465,0.049138699999999993,0.86,1
40,6,3,60162,0,3,0,2,1,0,30,0,2.71641791,0.012421933999999999,0.696666667,1
41,1,2,60416,0,0,2,5,0,1,60,0,5.929022082,0.257909546,0.791428571,1
42,2,3,61227,0,0,2,7,0,0,30,1,4.187203791,0.12119964300000001,0.75,1
43,3,2,61911,1,10,2,4,0,0,180,0,3.083333333,0.025324274,0.833333333,0
44,4,3,62034,1,11,2,4,0,0,60,0,2.8511235960000003,0.069590282,0.793333333,1
45,0,1,62155,0,5,1,4,0,0,60,0,3.51907131,0.145563105,0.776666667,1
46,1,1,63044,0,3,2,1,0,1,120,0,2.4315789469999998,0.015784778,0.64,0
47,2,3,63371,1,2,2,2,0,0,30,0,3.1044487430000003,0.11008166900000001,0.845,1
48,3,1,63566,1,7,1,6,2,0,120,0,2.524926686,0.059021344,0.665,0
49,4,2,64296,1,6,1,1,0,0,60,0,4.423357664,0.041520829,0.0,0
50,5,1,64388,1,1,2,5,0,0,120,0,3.943488943,0.220231968,0.683333333,0
51,5,3,64427,1,3,0,0,0,0,60,0,5.100378788,0.184750532,0.806666667,1
52,6,2,64901,1,3,2,9,1,0,30,0,2.538461538,0.020314323000000002,0.51,1
